Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
AB25,57.15273236277403,-2.1140470357613523,The Cult of Coffee,57.148273,-2.1143878,Coffee Shop
AB25,57.15273236277403,-2.1140470357613523,Next,57.1554915,-2.1125583,Clothing Store
AB25,57.15273236277403,-2.1140470357613523,Co-op Food,57.15445218250799,-2.106619350322808,Grocery Store
AB25,57.15273236277403,-2.1140470357613523,Currys PC World Featuring Carphone Warehouse,57.154951750527694,-2.1131472630223698,Electronics Store
AB25,57.15273236277403,-2.1140470357613523,Queen Vic,57.14971847893078,-2.1166141238728353,Pub
AB25,57.15273236277403,-2.1140470357613523,Rosemount Palace,57.15283330305026,-2.1121536474586726,Hotel
AB25,57.15273236277403,-2.1140470357613523,Argos,57.155800119826516,-2.1129368675246325,Warehouse Store
AB25,57.15273236277403,-2.1140470357613523,Crolla's Gelateria,57.15051194106869,-2.112743854522705,Ice Cream Shop
AB25,57.15273236277403,-2.1140470357613523,Spar,57.15123346592151,-2.1098805797107483,Convenience Store
AB25,57.15273236277403,-2.1140470357613523,Panda Valley,57.15001789999999,-2.1155224,Chinese Restaurant
AB25,57.15273236277403,-2.1140470357613523,Currymount,57.14979795928486,-2.115260837582859,Indian Restaurant
AB25,57.15273236277403,-2.1140470357613523,Rosies,57.14958279565968,-2.1170060094753422,Café
AB25,57.15273236277403,-2.1140470357613523,Ricebox,57.149110491131886,-2.110573729525888,Chinese Restaurant
AB25,57.15273236277403,-2.1140470357613523,Butchers Arms,57.153953,-2.10619,Pub
AB25,57.15273236277403,-2.1140470357613523,Matalan,57.15718785,-2.11469314,Clothing Store
AB25,57.15273236277403,-2.1140470357613523,Oddbins,57.14945,-2.119701,Wine Shop
AB41,57.37383630861458,-2.1044886126278675,Co-op Food,57.37109780269186,-2.098291279466707,Grocery Store
AB41,57.37383630861458,-2.1044886126278675,Park Security Fencing Ltd,57.370905525777275,-2.1100511757413187,Construction & Landscaping
AB44,57.66827085036683,-2.4922972404026846,Macduff Aquarium,57.672095231542414,-2.4920206333615824,Aquarium
AB44,57.66827085036683,-2.4922972404026846,The Knowes Hotel Banff and Macduff,57.66956209011122,-2.4956615508917346,Hotel
AB44,57.66827085036683,-2.4922972404026846,British Red Cross,57.67012,-2.49686,Thrift / Vintage Store
AB44,57.66827085036683,-2.4922972404026846,Echomaster Marine Ltd,57.67022,-2.4979007,Electronics Store
AB51,57.28757554174036,-2.403611487325543,J G Ross,57.284916181200536,-2.4041392356560727,Café
AB51,57.28757554174036,-2.403611487325543,Busy Bees at Inverurie,57.286519,-2.398112,Nursery School
AB51,57.28757554174036,-2.403611487325543,Andersons,57.284493043770546,-2.401676176373629,Furniture / Home Store
AB51,57.28757554174036,-2.403611487325543,Strathburn Hotel,57.287972837404396,-2.3965215682983394,Hotel
AB51,57.28757554174036,-2.403611487325543,Skyline Trampoline Park,57.290136,-2.397996,Theme Park Ride / Attraction
AB51,57.28757554174036,-2.403611487325543,Fly Cup Catering,57.286138,-2.396459,Café
AB52,57.3436200456363,-2.6090379653498315,Cafe mini indian take away and restaurant,57.34588451343538,-2.605646693040635,Indian Restaurant
AB52,57.3436200456363,-2.6090379653498315,Bennachie leisure centre,57.34565019607544,-2.614418864250183,Gym
AB99,57.11134055,-2.093992473,IKEA Order and Collection Point,57.109915,-2.0961,Furniture / Home Store
AB99,57.11134055,-2.093992473,Aberdeen Altens Hotel,57.10908143008703,-2.089249546302042,Hotel
AB99,57.11134055,-2.093992473,Makro,57.10960939680571,-2.0954138532122992,Warehouse Store
AB99,57.11134055,-2.093992473,Starbucks,57.10927,-2.0948982,Coffee Shop
AB99,57.11134055,-2.093992473,Burger King,57.10882325851056,-2.093092366595255,Fast Food Restaurant
AL1,51.7489134411539,-0.3236340626102762,Bar Espresso,51.75039609142829,-0.3281036293096592,Coffee Shop
AL1,51.7489134411539,-0.3236340626102762,Med Grill,51.752136514473,-0.32070738033588636,Mediterranean Restaurant
AL1,51.7489134411539,-0.3236340626102762,H & H Fried Chicken and Kebab,51.75034593330825,-0.32817658296756813,Fried Chicken Joint
AL1,51.7489134411539,-0.3236340626102762,Chilli Raj,51.75122269791972,-0.3233847310158588,Indian Restaurant
AL1,51.7489134411539,-0.3236340626102762,The Horn,51.75036023625793,-0.3291197740278169,Music Venue
AL1,51.7489134411539,-0.3236340626102762,The Crown,51.75127755961267,-0.3232762788177714,Pub
AL1,51.7489134411539,-0.3236340626102762,Alban Tandoori,51.750500735622275,-0.3289461135864258,Indian Restaurant
AL1,51.7489134411539,-0.3236340626102762,Iceland,51.750539795490255,-0.32999419331885405,Grocery Store
AL1,51.7489134411539,-0.3236340626102762,Tesco Express,51.752320629932896,-0.3204032778739929,Grocery Store
AL1,51.7489134411539,-0.3236340626102762,The Breakfast Club,51.75105625369467,-0.32355268814252386,Breakfast Spot
AL1,51.7489134411539,-0.3236340626102762,St Albans South Signal Box,51.74948448536046,-0.3277444839477539,History Museum
AL1,51.7489134411539,-0.3236340626102762,Platform 1,51.750515283241945,-0.32756350411989354,Platform
AL1,51.7489134411539,-0.3236340626102762,The Pudding Stop Pudmobile,51.75013904293024,-0.3280856826807102,Dessert Shop
AL1,51.7489134411539,-0.3236340626102762,Chinese Express,51.75225445017008,-0.32038782130934973,Chinese Restaurant
AL10,51.76037009736619,-0.23241460656557977,Hatfield Swim Centre,51.7620697245971,-0.2312659450209652,Pool
AL10,51.76037009736619,-0.23241460656557977,Subway,51.7625892162323,-0.2306753396987915,Sandwich Place
AL10,51.76037009736619,-0.23241460656557977,Prezzo,51.76298332752229,-0.2380514152237906,Italian Restaurant
AL10,51.76037009736619,-0.23241460656557977,Boots,51.76281290378364,-0.22796965258325602,Pharmacy
AL10,51.76037009736619,-0.23241460656557977,Iceland,51.76306415265449,-0.22764112476350612,Grocery Store
AL10,51.76037009736619,-0.23241460656557977,Rainbow Noodle Bar,51.76245759978093,-0.22622951952170375,Noodle House
AL10,51.76037009736619,-0.23241460656557977,Odeon,51.7627769,-0.2383375,Movie Theater
AL10,51.76037009736619,-0.23241460656557977,Asda,51.76282,-0.2281101,Supermarket
AL10,51.76037009736619,-0.23241460656557977,Jing Jing Oriental Food Store,51.76264412294323,-0.22704451727839522,Grocery Store
AL10,51.76037009736619,-0.23241460656557977,China Sky,51.762669289295765,-0.22623074344020647,Chinese Restaurant
AL2,51.719130640595544,-0.33547221020417245,Park Street Sports & Social Club,51.721524,-0.33901,Pub
AL2,51.719130640595544,-0.33547221020417245,Park Street Recreation ground,51.72116230113195,-0.3400440113625928,Park
AL2,51.719130640595544,-0.33547221020417245,Frogmore lakes,51.71571686210366,-0.3335525479799195,Lake
AL2,51.719130640595544,-0.33547221020417245,Oriental,51.7223239007779,-0.33868058562444137,Chinese Restaurant
AL3,51.78039924246544,-0.37754515241527586,Redbournbury Watermill,51.78426607530782,-0.3797598151977129,Bakery
AL4,51.77401559241821,-0.2949600232198571,Jersy Farm Adventure Playground,51.772306426526335,-0.29583374890008196,Playground
AL4,51.77401559241821,-0.2949600232198571,Striking Places Photography,51.773867351555445,-0.3000553697347641,Photography Studio
AL5,51.8152138673318,-0.35195771599106407,Godfrey's,51.81674962024392,-0.35693121367616537,Fish & Chips Shop
AL5,51.8152138673318,-0.35195771599106407,Simmons,51.81480272438481,-0.35438076771174154,Bakery
AL5,51.8152138673318,-0.35195771599106407,Prezzo,51.814268700067714,-0.3561820826701261,Italian Restaurant
AL5,51.8152138673318,-0.35195771599106407,Bar Azita,51.814737368870105,-0.35334776183506955,Mediterranean Restaurant
AL5,51.8152138673318,-0.35195771599106407,Cross Keys,51.81661813199657,-0.3568126031617902,Bar
AL5,51.8152138673318,-0.35195771599106407,Harpenden Arms,51.81442566176481,-0.3546857616568104,Pub
AL5,51.8152138673318,-0.35195771599106407,Lussmanns Harpenden,51.81412451331751,-0.35571479999473066,Restaurant
AL5,51.8152138673318,-0.35195771599106407,Rothampsted Park,51.81290843966351,-0.35693057755952656,Park
AL5,51.8152138673318,-0.35195771599106407,Harpenden Books,51.81630482759349,-0.35665724524457104,Bookstore
AL5,51.8152138673318,-0.35195771599106407,M&S Simply Food,51.81586454,-0.35749297,Grocery Store
AL5,51.8152138673318,-0.35195771599106407,Costa Coffee,51.81509889411641,-0.35278169835562295,Coffee Shop
AL5,51.8152138673318,-0.35195771599106407,Waitrose & Partners,51.81546287347084,-0.35707509448764085,Supermarket
AL5,51.8152138673318,-0.35195771599106407,Pasta Cibo,51.814929434455124,-0.35316646099090576,Italian Restaurant
AL5,51.8152138673318,-0.35195771599106407,Costa Coffee,51.815034083598135,-0.35499678880549196,Coffee Shop
AL5,51.8152138673318,-0.35195771599106407,PizzaExpress,51.814607709185154,-0.3555501779098904,Pizza Place
AL5,51.8152138673318,-0.35195771599106407,Boots,51.815316774629885,-0.3555143838672637,Pharmacy
AL5,51.8152138673318,-0.35195771599106407,Domino's Pizza,51.815231189206806,-0.35318731530333025,Pizza Place
AL5,51.8152138673318,-0.35195771599106407,Caffè Nero,51.814706582589245,-0.3552873381390489,Coffee Shop
AL5,51.8152138673318,-0.35195771599106407,The Silver Cup,51.81167285444264,-0.3540380430791058,Pub
AL5,51.8152138673318,-0.35195771599106407,Bangkok Lounge,51.81790441425436,-0.35767152704974065,Thai Restaurant
AL5,51.8152138673318,-0.35195771599106407,The Cock,51.81701318526662,-0.35741428518470725,Pub
AL5,51.8152138673318,-0.35195771599106407,Sainsbury's,51.816130084451466,-0.35589605061167706,Supermarket
AL5,51.8152138673318,-0.35195771599106407,Zaza,51.817787282668405,-0.3574377198597028,Italian Restaurant
AL5,51.8152138673318,-0.35195771599106407,Shaken Cow,51.81532,-0.35471475,Juice Bar
AL5,51.8152138673318,-0.35195771599106407,Threads,51.81475909445569,-0.35502344606369385,Arts & Crafts Store
AL5,51.8152138673318,-0.35195771599106407,"The George, Harpenden",51.8141505752966,-0.3552038710479829,Restaurant
AL5,51.8152138673318,-0.35195771599106407,Inn On The Green,51.8141035625365,-0.3558941205666588,Pub
AL5,51.8152138673318,-0.35195771599106407,JoJo Maman Bébé,51.816149817274336,-0.3571200370788574,Baby Store
AL5,51.8152138673318,-0.35195771599106407,Church Green a Small Green Place,51.816322260007645,-0.35732388496398926,Park
AL5,51.8152138673318,-0.35195771599106407,Sazio,51.817801,-0.357442,Italian Restaurant
AL7,51.7968665591533,-0.1871528520930892,Costcutter,51.79872468872509,-0.18986823199639632,Convenience Store
AL7,51.7968665591533,-0.1871528520930892,Your Local Store,51.798695,-0.190152,Market
AL7,51.7968665591533,-0.1871528520930892,Lips Paintball,51.800353,-0.189319,Paintball Field
AL8,51.803658672427815,-0.21168818030323794,John Lewis & Partners,51.80354,-0.2069589,Department Store
AL8,51.803658672427815,-0.21168818030323794,Bill's Restaurant,51.80144121680507,-0.2068922516730757,English Restaurant
AL8,51.803658672427815,-0.21168818030323794,Caffè Nero,51.80183769850312,-0.20680314070215497,Coffee Shop
AL8,51.803658672427815,-0.21168818030323794,Côte Brasserie,51.80225333110051,-0.20807602139627038,French Restaurant
AL8,51.803658672427815,-0.21168818030323794,Cafe Trio,51.800950003659246,-0.20739448630517957,Café
AL8,51.803658672427815,-0.21168818030323794,Neem Tree,51.801020483301805,-0.20592806452617157,Indian Restaurant
AL8,51.803658672427815,-0.21168818030323794,Roller City,51.80562209395058,-0.20869064570104898,General Entertainment
AL8,51.803658672427815,-0.21168818030323794,Bebo,51.80256523429526,-0.2047770306629829,Café
AL8,51.803658672427815,-0.21168818030323794,PizzaExpress,51.80129533897636,-0.2065888687171764,Pizza Place
AL8,51.803658672427815,-0.21168818030323794,Fu Hao 富豪楼,51.802304,-0.206687,Chinese Restaurant
AL8,51.803658672427815,-0.21168818030323794,Greggs,51.802237065065526,-0.2051433359360669,Bakery
AL8,51.803658672427815,-0.21168818030323794,Boots,51.80125158173894,-0.20673900859833338,Pharmacy
AL8,51.803658672427815,-0.21168818030323794,Superdrug,51.80126852560978,-0.20650741328922462,Pharmacy
AL8,51.803658672427815,-0.21168818030323794,The Two Willows,51.802224548381695,-0.20754161165677942,Pub
AL8,51.803658672427815,-0.21168818030323794,Subway,51.8020653731575,-0.20545144224612902,Sandwich Place
AL8,51.803658672427815,-0.21168818030323794,The Doctors Tonic,51.800083165533636,-0.20757420944124588,Pub
AL8,51.803658672427815,-0.21168818030323794,The Place To Eat,51.80348956613166,-0.20746221861464448,Café
AL8,51.803658672427815,-0.21168818030323794,Sainsbury's,51.80084418199469,-0.20828090011441258,Supermarket
AL8,51.803658672427815,-0.21168818030323794,Costa Coffee,51.80118394703655,-0.2058704272308962,Coffee Shop
